tabla,filas,tamaño
academies,0,32 kB
admin_emails,5,96 kB
audit_logs,4,144 kB
blog_comments,33,152 kB
blog_config,1,24 kB
blogs,13,304 kB
clubs,0,32 kB
coaches,3,152 kB
content_reports,0,72 kB
conversation_activities,1,64 kB
conversation_notes,0,24 kB
conversation_sla_status,0,24 kB
conversations,1,176 kB
direct_conversation_participants,12,104 kB
direct_conversations,6,88 kB
direct_messages,43,136 kB
direct_typing_indicators,0,104 kB
email_replies,0,16 kB
email_templates,3,80 kB
incoming_emails,2,112 kB
location_distance_cache,0,32 kB
message_templates,2,48 kB
messages,1,136 kB
messages,0,0 bytes
moderation_actions,0,48 kB
newsletter_campaigns,0,32 kB
newsletter_sends,0,40 kB
newsletter_subscribers,2,96 kB
saved_replies,0,32 kB
sessions,15,128 kB
sessions,0,72 kB
sla_rules,3,32 kB
support_messages,0,32 kB
support_tickets,0,72 kB
team_members,0,40 kB
teams,4,48 kB
user_presence,6,96 kB
user_suspensions,0,40 kB
users,11,128 kB
users,11,224 kB